transaction_id,customer_id,product_id,quantity,unit_price,total_amount,transaction_date
1,792,2,2,336.53,673.06,2024-02-02
2,138,35,1,371.91,371.91,2024-01-22
3,111,38,1,203.61,203.61,2023-07-01
4,884,24,1,426.67,426.67,2023-06-20
5,409,36,2,164.66,329.32,2023-07-07
6,858,38,1,203.61,203.61,2023-04-29
7,156,16,3,234.27,702.8100000000001,2024-04-09
8,104,28,2,441.28,882.56,2024-05-16
9,693,42,3,150.83,452.49,2023-06-24
10,734,41,2,446.21,892.42,2024-02-25
11,134,7,4,156.05,624.2,2024-05-15
12,665,33,3,76.93,230.79000000000002,2024-06-02
13,756,12,4,186.42,745.68,2024-12-20
14,555,36,1,164.66,164.66,2024-10-08
15,228,47,3,141.12,423.36,2024-04-01
16,160,11,4,33.61,134.44,2023-08-13
17,983,25,4,113.88,455.52,2024-03-31
18,45,22,3,214.09,642.27,2024-10-05
19,616,3,1,483.36,483.36,2024-05-03
20,157,34,2,329.3,658.6,2024-02-16
21,205,15,4,222.04,888.16,2024-04-15
22,940,26,4,332.1,1328.4,2024-08-24
23,104,9,3,393.09,1179.27,2024-10-06
24,824,32,4,154.7,618.8,2024-03-09
25,331,15,4,222.04,888.16,2024-06-23
26,278,41,1,446.21,446.21,2024-07-24
27,90,44,3,38.47,115.41,2023-12-28
28,441,26,1,332.1,332.1,2024-01-29
29,507,45,3,64.64,193.92000000000002,2023-09-24
30,461,8,4,61.63,246.52,2023-03-09
31,863,28,3,441.28,1323.84,2024-05-05
32,833,49,3,17.2,51.599999999999994,2024-07-17
33,102,24,2,426.67,853.34,2024-11-30
34,569,47,3,141.12,423.36,2024-05-03
35,686,50,2,195.76,391.52,2023-01-05
36,596,41,3,446.21,1338.6299999999999,2023-09-05
37,566,33,2,76.93,153.86,2024-02-26
38,923,34,3,329.3,987.9000000000001,2024-07-26
39,122,21,2,386.11,772.22,2024-03-28
40,390,38,2,203.61,407.22,2024-08-20
41,446,18,2,190.67,381.34,2024-12-14
42,302,13,3,478.83,1436.49,2023-01-03
43,990,6,1,354.24,354.24,2024-06-03
44,428,45,3,64.64,193.92000000000002,2024-09-11
45,161,17,4,112.35,449.4,2023-11-27
46,333,50,3,195.76,587.28,2024-10-29
47,492,6,1,354.24,354.24,2023-09-29
48,580,35,4,371.91,1487.64,2024-07-13
49,696,26,2,332.1,664.2,2023-11-28
50,139,37,1,325.97,325.97,2023-10-01
51,19,23,3,412.87,1238.6100000000001,2023-06-03
52,390,4,4,382.91,1531.64,2024-07-24
53,125,34,1,329.3,329.3,2024-09-10
54,811,16,2,234.27,468.54,2023-09-04
55,520,13,2,478.83,957.66,2023-01-08
56,478,32,4,154.7,618.8,2024-05-09
57,606,1,3,359.39,1078.17,2023-02-08
58,593,20,4,35.65,142.6,2023-04-03
59,86,44,1,38.47,38.47,2024-02-25
60,74,36,1,164.66,164.66,2024-05-26
61,156,42,3,150.83,452.49,2023-06-20
62,981,24,2,426.67,853.34,2023-11-18
63,567,8,4,61.63,246.52,2024-08-25
64,790,37,3,325.97,977.9100000000001,2023-12-15
65,451,44,1,38.47,38.47,2023-06-22
66,10,36,1,164.66,164.66,2024-03-13
67,760,27,2,241.42,482.84,2024-05-13
68,129,32,1,154.7,154.7,2024-08-27
69,327,49,3,17.2,51.599999999999994,2024-02-08
70,629,30,3,342.13,1026.3899999999999,2024-09-02
71,625,39,3,359.47,1078.41,2024-12-18
72,17,18,1,190.67,190.67,2023-04-26
73,861,20,1,35.65,35.65,2023-04-01
74,82,4,1,382.91,382.91,2023-04-24
75,769,26,1,332.1,332.1,2024-02-08
76,628,23,2,412.87,825.74,2023-11-11
77,715,41,1,446.21,446.21,2023-07-12
78,401,22,2,214.09,428.18,2024-08-02
79,709,11,4,33.61,134.44,2024-10-22
80,99,12,2,186.42,372.84,2024-02-07
81,109,7,3,156.05,468.15000000000003,2023-11-23
82,154,40,1,107.62,107.62,2024-02-09
83,462,4,3,382.91,1148.73,2023-03-25
84,399,50,4,195.76,783.04,2023-04-19
85,221,8,1,61.63,61.63,2024-01-03
86,147,48,3,419.39,1258.17,2024-07-11
87,924,46,1,262.77,262.77,2024-04-19
88,836,15,3,222.04,666.12,2024-02-25
89,897,3,3,483.36,1450.08,2023-10-07
90,283,40,3,107.62,322.86,2023-07-08
91,164,34,1,329.3,329.3,2024-06-19
92,536,42,4,150.83,603.32,2023-10-17
93,953,49,3,17.2,51.599999999999994,2023-06-30
94,248,23,1,412.87,412.87,2024-08-03
95,863,41,1,446.21,446.21,2024-05-23
96,761,6,1,354.24,354.24,2024-10-11
97,680,7,3,156.05,468.15000000000003,2023-03-26
98,317,20,3,35.65,106.94999999999999,2024-01-19
99,691,22,3,214.09,642.27,2023-02-07
100,511,36,3,164.66,493.98,2023-06-18
101,965,13,3,478.83,1436.49,2023-11-02
102,542,37,1,325.97,325.97,2023-04-22
103,411,14,1,255.2,255.2,2024-01-17
104,496,47,2,141.12,282.24,2024-07-04
105,528,22,1,214.09,214.09,2023-11-06
106,661,8,1,61.63,61.63,2023-09-29
107,571,31,2,307.8,615.6,2023-07-21
108,32,34,3,329.3,987.9000000000001,2023-09-11
109,521,17,3,112.35,337.04999999999995,2024-04-24
110,10,22,1,214.09,214.09,2024-07-13
111,436,47,1,141.12,141.12,2024-09-26
112,917,37,2,325.97,651.94,2023-07-10
113,729,36,1,164.66,164.66,2024-05-03
114,895,24,2,426.67,853.34,2023-04-14
115,783,32,3,154.7,464.09999999999997,2023-07-17
116,1,47,3,141.12,423.36,2024-01-13
117,167,17,2,112.35,224.7,2024-11-11
118,477,9,1,393.09,393.09,2024-08-04
119,262,20,4,35.65,142.6,2023-09-02
120,515,17,3,112.35,337.04999999999995,2024-07-14
121,76,48,3,419.39,1258.17,2023-04-19
122,183,1,1,359.39,359.39,2024-04-18
123,783,36,4,164.66,658.64,2023-05-08
124,452,18,1,190.67,190.67,2023-02-12
125,884,35,4,371.91,1487.64,2023-03-19
